"path","initial_git_status","action","rationale","current_sha256","captured_sha256","original_git_blob"
".summer/00_Docs/27-30/27-A-J/27A_Fantasy_Voxel_Civilisation_Sandbox_Economic_Vision_Architecture_and_Ownership_v0_1.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","b9c1ae4d140c0a312cff5adaac6734503204b331e6f085bf904d7d5553b87940","b9c1ae4d140c0a312cff5adaac6734503204b331e6f085bf904d7d5553b87940",
".summer/00_Docs/27-30/27-A-J/27B_Fantasy_Voxel_Civilisation_Sandbox_Currency_Barter_Value_and_Price_Formation_v0_1.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","c0aaceec5d9c7dd9e62527f4d35964803cdf4c71f201af70d24c5bf9d0db2d1f","c0aaceec5d9c7dd9e62527f4d35964803cdf4c71f201af70d24c5bf9d0db2d1f",
".summer/00_Docs/27-30/27-A-J/27C_Fantasy_Voxel_Civilisation_Sandbox_Markets_Merchants_Stock_and_Supply_Demand_Simulation_v0_1.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","28bca3792b1b954070cdadccd6432829a83e1c6190c1ab82a84245358afb846a","28bca3792b1b954070cdadccd6432829a83e1c6190c1ab82a84245358afb846a",
".summer/00_Docs/27-30/27-A-J/27D_Fantasy_Voxel_Civilisation_Sandbox_Labour_Wages_Households_Businesses_and_Ownership_v0_1.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","e892dfbf49e166a5d548b18877655407f696b59a492ea87023fd8086d048e60d","e892dfbf49e166a5d548b18877655407f696b59a492ea87023fd8086d048e60d",
".summer/00_Docs/27-30/27-A-J/27E_Fantasy_Voxel_Civilisation_Sandbox_Contracts_Orders_Services_Breach_and_Enforcement_v0_1.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","460a1b9c1dfb729806f9c541cc7ec9d52530852446005f8fe3d1d288a730dbc7","460a1b9c1dfb729806f9c541cc7ec9d52530852446005f8fe3d1d288a730dbc7",
".summer/00_Docs/27-30/27-A-J/27F_Fantasy_Voxel_Civilisation_Sandbox_Credit_Debt_Banking_Insurance_and_Financial_Risk_v0_1.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","7174c35e851e0682bb89f160329d550df1e5703ed22d9720459f05ed786d693c","7174c35e851e0682bb89f160329d550df1e5703ed22d9720459f05ed786d693c",
".summer/00_Docs/27-30/27-A-J/27G_Fantasy_Voxel_Civilisation_Sandbox_Taxation_Tariffs_Treasuries_and_Public_Finance_v0_1.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","11a6c80499be33bedff712743e6965a782308a526eca326d84d0bc399d8bb757","11a6c80499be33bedff712743e6965a782308a526eca326d84d0bc399d8bb757",
".summer/00_Docs/27-30/27-A-J/27H_Fantasy_Voxel_Civilisation_Sandbox_Trade_Routes_Caravans_Regional_Exchange_and_Cross_Realm_Commerce_v0_1.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","616e4066ee5ff73a10701f388a1fba719025a1c505510f1a708977b486a7a4e2","616e4066ee5ff73a10701f388a1fba719025a1c505510f1a708977b486a7a4e2",
".summer/00_Docs/27-30/27-A-J/27I_Fantasy_Voxel_Civilisation_Sandbox_Monopolies_Embargoes_Smuggling_Black_Markets_and_Economic_Conflict_v0_1.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","182b46e161e1bab54331e65ac70c077fe6f288d7cd4c79e27a5056e85eb5ce95","182b46e161e1bab54331e65ac70c077fe6f288d7cd4c79e27a5056e85eb5ce95",
".summer/00_Docs/27-30/27-A-J/27J_Fantasy_Voxel_Civilisation_Sandbox_Economy_UI_Simulation_LOD_Multiplayer_Registries_and_Integration_v0_2.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","0d7a1dee2119d4a8e4f3d292e7cde3176c8beba152f51bd705934fbac35fb5c3","0d7a1dee2119d4a8e4f3d292e7cde3176c8beba152f51bd705934fbac35fb5c3",
".summer/00_Docs/27-30/27-A-J/FINAL_RECONCILIATION_NOTICE_v0_2.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","7fcc51d5018e63cbfbf82e67362bc41e9b2065d2c65df61c97551060f7cd6bf5","7fcc51d5018e63cbfbf82e67362bc41e9b2065d2c65df61c97551060f7cd6bf5",
".summer/00_Docs/27-30/27-A-J/Leyforge_Document_Sets_27-30_Cross-Set_Interface_Register_v1_1_Final_Reconciled.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","e933c7e27258f3dd2d71122de5973ff7e4e45858c0054a1d6f9f1091b9325dbc","e933c7e27258f3dd2d71122de5973ff7e4e45858c0054a1d6f9f1091b9325dbc",
".summer/00_Docs/27-30/27-A-J/Leyforge_Document_Sets_27-30_Final_Cross-Set_Reconciliation_and_Integration_Report_v1_1.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","ed8119496fa419c4b2a00d43178647a3fcd8c27099f9e25315a098ef0e086318","ed8119496fa419c4b2a00d43178647a3fcd8c27099f9e25315a098ef0e086318",
".summer/00_Docs/27-30/27-A-J/MANIFEST.txt","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","74543922f4374c6c0f8ef4df945551b78a34a546e5d7ff05d230e590e6d5727d","74543922f4374c6c0f8ef4df945551b78a34a546e5d7ff05d230e590e6d5727d",
".summer/00_Docs/27-30/27-A-J/README.txt","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","d7829a8afaa163fe0be2743de37e81cb7b8310e7c2a1555fbdbfb63e850200d5","d7829a8afaa163fe0be2743de37e81cb7b8310e7c2a1555fbdbfb63e850200d5",
".summer/00_Docs/27-30/27-A-J/README_Sets_27-30_Final_Reconciled_v1_1.txt","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","14607ab9930b2c53465d0e353365ffee933143461cfebedfc07bdb580f135645","14607ab9930b2c53465d0e353365ffee933143461cfebedfc07bdb580f135645",
".summer/00_Docs/27-30/27-A-J/SHA256SUMS.txt","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","b94c2ca863a07aaecebd83c63b1c7a81e0419f7b373880506f4329fe3c05b2c6","b94c2ca863a07aaecebd83c63b1c7a81e0419f7b373880506f4329fe3c05b2c6",
".summer/00_Docs/27-30/28-A-J/28A_Fantasy_Voxel_Civilisation_Sandbox_Social_System_Vision_Architecture_and_Ownership_v0_1.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","0b19a6074c5106f43ae48449bb12e1f4136ff09a8b85933073e52b5cabeefd1a","0b19a6074c5106f43ae48449bb12e1f4136ff09a8b85933073e52b5cabeefd1a",
".summer/00_Docs/27-30/28-A-J/28B_Fantasy_Voxel_Civilisation_Sandbox_Dialogue_Runtime_Conversation_Structure_and_Context_v0_1.md","??","propose_stage","preserve_current_poc_source_or_supplied_source_corpus","edb5b36c27b8289c102bfef9c0697f3d538d34786d06a1e431e8b003ef0a132e","edb5b36c27b8289c102bfef9c0697f3d538d34786d06a1e431e8b003ef0a132e",
